filename,type(sim/real),class(Benign=0/Malignant=1),Voxel
real_world_training/00000.bin,real,0,()
real_world_training/00001.bin,real,0,()
real_world_training/00002.bin,real,0,()
real_world_training/00003.bin,real,0,()
real_world_training/00004.bin,real,0,()
real_world_training/00005.bin,real,0,()
real_world_training/00006.bin,real,0,()
real_world_training/00007.bin,real,0,()
real_world_training/00008.bin,real,0,()
real_world_training/00009.bin,real,0,()
real_world_training/00010.bin,real,0,()
real_world_training/00011.bin,real,0,()
real_world_training/00012.bin,real,0,()
real_world_training/00013.bin,real,0,()
real_world_training/00014.bin,real,0,()
real_world_training/00015.bin,real,0,()
real_world_training/00016.bin,real,0,()
real_world_training/00017.bin,real,0,()
real_world_training/00018.bin,real,0,()
real_world_training/00019.bin,real,0,()
real_world_training/00020.bin,real,0,()
real_world_training/00021.bin,real,0,()
real_world_training/00022.bin,real,0,()
real_world_training/00023.bin,real,0,()
real_world_training/00024.bin,real,0,()
real_world_training/00025.bin,real,0,()
real_world_training/00026.bin,real,0,()
real_world_training/00027.bin,real,0,()
real_world_training/00028.bin,real,0,()
real_world_training/00029.bin,real,0,()
real_world_training/00030.bin,real,0,()
real_world_training/00031.bin,real,0,()
real_world_training/00032.bin,real,0,()
real_world_training/00033.bin,real,0,()
real_world_training/00034.bin,real,0,()
real_world_training/00035.bin,real,0,()
real_world_training/00036.bin,real,0,()
real_world_training/00037.bin,real,0,()
real_world_training/00038.bin,real,0,()
real_world_training/00039.bin,real,0,()
real_world_training/00040.bin,real,0,()
real_world_training/00041.bin,real,0,()
real_world_training/00042.bin,real,0,()
real_world_training/00043.bin,real,0,()
real_world_training/00044.bin,real,0,()
real_world_training/00045.bin,real,0,()
real_world_training/00046.bin,real,0,()
real_world_training/00047.bin,real,0,()
real_world_training/00048.bin,real,0,()
real_world_training/00049.bin,real,0,()
real_world_training/00050.bin,real,0,()
real_world_training/00051.bin,real,0,()
real_world_training/00052.bin,real,0,()
real_world_training/00053.bin,real,0,()
real_world_training/00054.bin,real,0,()
real_world_training/00055.bin,real,0,()
real_world_training/00056.bin,real,0,()
real_world_training/00057.bin,real,0,()
real_world_training/00058.bin,real,0,()
real_world_training/00059.bin,real,0,()
real_world_training/00060.bin,real,0,()
real_world_training/00061.bin,real,0,()
real_world_training/00062.bin,real,0,()
real_world_training/00063.bin,real,0,()
real_world_training/00064.bin,real,0,()
real_world_training/00065.bin,real,0,()
real_world_training/00066.bin,real,0,()
real_world_training/00067.bin,real,0,()
real_world_training/00068.bin,real,0,()
real_world_training/00069.bin,real,1,()
real_world_training/00070.bin,real,0,()
real_world_training/00071.bin,real,0,()
real_world_training/00072.bin,real,0,()
real_world_training/00073.bin,real,0,()
real_world_training/00074.bin,real,0,()
real_world_training/00075.bin,real,0,()
real_world_training/00076.bin,real,0,()
real_world_training/00077.bin,real,0,()
real_world_training/00078.bin,real,0,()
real_world_training/00079.bin,real,0,()
real_world_training/00080.bin,real,0,()
real_world_training/00081.bin,real,0,()
real_world_training/00082.bin,real,0,()
real_world_training/00083.bin,real,0,()
real_world_training/00084.bin,real,0,()
real_world_training/00085.bin,real,0,()
real_world_training/00086.bin,real,0,()
real_world_training/00087.bin,real,0,()
real_world_training/00088.bin,real,0,()
real_world_training/00089.bin,real,0,()
real_world_training/00090.bin,real,0,()
real_world_training/00091.bin,real,0,()
real_world_training/00092.bin,real,0,()
real_world_training/00093.bin,real,1,()
real_world_training/00094.bin,real,0,()
real_world_training/00095.bin,real,0,()
real_world_training/00096.bin,real,0,()
real_world_training/00097.bin,real,0,()
real_world_training/00098.bin,real,0,()
real_world_training/00099.bin,real,0,()
real_world_training/00100.bin,real,0,()
real_world_training/00101.bin,real,0,()
real_world_training/00102.bin,real,0,()
real_world_training/00103.bin,real,0,()
real_world_training/00104.bin,real,0,()
real_world_training/00105.bin,real,0,()
real_world_training/00106.bin,real,0,()
real_world_training/00107.bin,real,0,()
real_world_training/00108.bin,real,0,()
real_world_training/00109.bin,real,0,()
real_world_training/00110.bin,real,0,()
real_world_training/00111.bin,real,0,()
real_world_training/00112.bin,real,0,()
real_world_training/00113.bin,real,0,()
real_world_training/00114.bin,real,0,()
real_world_training/00115.bin,real,0,()
real_world_training/00116.bin,real,0,()
real_world_training/00117.bin,real,0,()
real_world_training/00118.bin,real,0,()
real_world_training/00119.bin,real,0,()
real_world_training/00120.bin,real,0,()
real_world_training/00121.bin,real,0,()
real_world_training/00122.bin,real,0,()
real_world_training/00123.bin,real,0,()
real_world_training/00124.bin,real,0,()
real_world_training/00125.bin,real,0,()
real_world_training/00126.bin,real,0,()
real_world_training/00127.bin,real,0,()
